#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,1531,3059.471886
75.0,1189,3064.177609
455.0,2969,3074.578355
170.0,2503,3084.150713
210.0,2507,3093.468363
110.0,1855,3100.064504
180.0,2499,3109.953715
180.0,2567,3119.628713
210.0,2731,3129.086328
110.0,1867,3135.849039
155.0,2427,3145.008572
110.0,1909,3150.652283
180.0,2535,3158.293131
55.0,1357,3162.429152
155.0,2519,3170.223051
260.0,3247,3179.977487
110.0,1705,3185.170858
380.0,2553,3193.104196
200.0,2315,3200.251898
180.0,2307,3208.166959
180.0,2551,3215.720222
160.0,2381,3222.992101
110.0,1987,3228.785663
315.0,3859,3240.066433
335.0,2487,3250.166327
255.0,2947,3258.885924
380.0,2653,3266.672892
105.0,1907,3272.094548
210.0,2495,3279.692913
300.0,3305,3291.115484
195.0,2361,3300.16669
65.0,1205,3304.493309
75.0,1609,3309.930946
795.0,4273,3325.44403
75.0,1507,3330.579504
105.0,2175,3338.128375
275.0,2917,3348.579314
210.0,2535,3357.37918
135.0,1913,3364.062748
90.0,2175,3372.286826
95.0,2029,3380.826912
180.0,2429,3389.945004
245.0,2835,3400.930547
55.0,2149,3409.611243
125.0,2419,3418.401538
210.0,2795,3429.348764
440.0,2887,3440.372472
230.0,2873,3452.16091
160.0,2829,3463.471966
135.0,2421,3472.407647
155.0,2409,3481.129815
245.0,3293,3495.208973
210.0,2471,3504.509999
270.0,2977,3516.699374
410.0,2483,3528.264376
155.0,2427,3538.566702
105.0,1219,3543.270135
180.0,2417,3552.529765
135.0,1995,3560.253182
270.0,3007,3571.38227
285.0,2933,3582.91684
55.0,1297,3587.441366
185.0,2379,3596.255451
180.0,2433,3605.394226
110.0,2141,3613.461208
180.0,2385,3622.395147
310.0,4305,3644.071664
35.0,1551,3650.687858
380.0,2451,3660.188043
185.0,2423,3669.442681
135.0,2323,3678.479447
210.0,2537,3688.083114
75.0,1219,3692.505794
80.0,1171,3696.969922
210.0,2463,3705.866986
210.0,2391,3714.573606
210.0,2485,3722.066926
180.0,3013,3731.256081
105.0,1335,3735.61766
155.0,1891,3741.197535
155.0,2301,3748.386329
240.0,2265,3755.088807
320.0,2975,3764.143874
210.0,2469,3771.339301
110.0,1917,3777.255649
215.0,2287,3784.085815
110.0,1985,3790.226132
105.0,2077,3796.424995
125.0,1937,3802.320478
110.0,2137,3808.744468
180.0,2377,3816.211702
595.0,4331,3830.299165
35.0,1209,3834.343871
210.0,2351,3841.378297
135.0,2399,3849.146848
485.0,3947,3864.289912
110.0,1953,3871.20577
135.0,2591,3881.544339
490.0,3173,3894.466217
110.0,1923,3902.577352
290.0,3293,3916.093509
105.0,1827,3924.382273
195.0,2931,3939.236615
335.0,2357,3950.528783
240.0,2983,3963.159254
180.0,2309,3974.790859
210.0,2457,3985.590326
380.0,2461,3996.470298
180.0,2445,4011.366211
140.0,2337,4022.001777
60.0,1831,4030.228879
180.0,2315,4040.215711
135.0,2315,4049.485944
155.0,2401,4058.981822
155.0,1847,4066.225977
210.0,2729,4077.690769
180.0,1551,4083.165674
210.0,2415,4091.067042
55.0,1225,4094.898878
120.0,2357,4102.497019
280.0,3193,4113.176038
225.0,2853,4122.131515
230.0,2807,4130.76888
210.0,2169,4140.77946
120.0,2031,4149.203178
405.0,3201,4161.994249
240.0,2893,4173.209586
150.0,2335,4182.861858
95.0,1511,4188.732986
110.0,1161,4193.361489
155.0,1555,4202.076333
200.0,2377,4211.647976
215.0,2411,4221.616474
90.0,1893,4229.59134
145.0,1527,4235.512819
155.0,2349,4245.142428
145.0,1877,4251.729666
105.0,1833,4258.305785
300.0,2485,4266.37073
120.0,1949,4272.993179
110.0,2195,4279.924529
320.0,3011,4289.301494
255.0,2653,4297.742406
110.0,1869,4303.765048
450.0,4475,4317.832702
225.0,3459,4328.655835
320.0,3455,4339.43168
180.0,2409,4346.994948
180.0,2399,4354.67877
180.0,2431,4361.674173
65.0,1887,4367.520678
360.0,4305,4384.13233
350.0,3767,4395.480468
225.0,2473,4403.059553
515.0,3721,4414.352405
75.0,1365,4418.522259
55.0,1905,4424.135837
285.0,2717,4432.518331
205.0,1973,4438.459672
105.0,2125,4445.327136
155.0,2183,4455.410408
290.0,3107,4468.376765
215.0,2451,4478.215592
285.0,2897,4490.298239
265.0,2941,4503.189101
170.0,2937,4517.876927
185.0,2203,4528.139361
150.0,2239,4538.888796
315.0,2721,4552.028822
475.0,2891,4567.276016
40.0,921,4570.085068
85.0,2043,4576.650002
195.0,1951,4583.054196
205.0,2311,4590.217813
260.0,2823,4599.365225
185.0,1995,4605.488336
75.0,1509,4611.377912
105.0,2073,4618.246852
325.0,2583,4626.424888
110.0,2215,4633.775177
315.0,2841,4643.574023
145.0,2041,4650.07452
110.0,2209,4657.245853
260.0,2907,4666.664264
180.0,2023,4673.520728
145.0,2161,4681.440265
180.0,2121,4689.53435
145.0,2329,4698.125136
190.0,2425,4705.972729
225.0,2877,4716.174281
265.0,2423,4725.303581
500.0,3331,4736.601466
145.0,2743,4746.227954
165.0,1897,4757.617092
470.0,2847,4768.319174
280.0,3397,4780.418454
200.0,3201,4791.620585
135.0,2043,4799.008835
680.0,4943,4817.100816
375.0,2889,4827.366733
600.0,4239,4842.325892
360.0,3111,4853.268163
150.0,1955,4860.106475
320.0,3097,4871.82438
115.0,1613,4877.403566
650.0,7417,4899.514258
295.0,3905,4911.111241
475.0,4750,4925.254626
380.0,2589,4932.860325
360.0,3985,4944.699873
145.0,2327,4951.447261
95.0,1745,4956.469946
210.0,2773,4964.785886
370.0,3541,4975.765218
285.0,3557,4986.39643
415.0,3019,4995.439102
305.0,3689,5006.286797
185.0,2733,5014.469384
285.0,3749,5025.62886
215.0,2881,5034.322543
225.0,2637,5042.070667
185.0,2599,5049.65956
275.0,2997,5058.577103
65.0,2453,5065.660574
55.0,1713,5070.630195
450.0,4716,5089.455381
280.0,3831,5100.727155
215.0,2547,5108.348201
420.0,4707,5122.396471
415.0,2839,5130.706774
315.0,4197,5143.207888
385.0,4069,5155.568225
155.0,2427,5162.757475
190.0,2589,5170.374314
245.0,3513,5180.911174
515.0,5101,5196.269666
315.0,3757,5207.800912
260.0,3215,5218.25262
575.0,3949,5231.309815
160.0,2577,5239.334387
225.0,2753,5247.619613
525.0,3857,5259.241005
490.0,2793,5267.64256
810.0,3945,5279.848325
435.0,4463,5293.576311
285.0,2903,5302.827695
370.0,4137,5315.281606
870.0,4803,5330.250706
225.0,2699,5338.74768
390.0,4099,5351.088982
260.0,2661,5359.35562
390.0,4371,5372.743509
425.0,4107,5385.078198
260.0,2799,5399.065284
190.0,3769,5410.39469
505.0,3691,5422.940983
445.0,3051,5434.555848
220.0,2891,5445.26604
210.0,2467,5454.684338
160.0,1591,5460.094427
290.0,4121,5474.565097
385.0,3581,5488.104144
370.0,3861,5500.377233
355.0,2647,5508.607281
425.0,4859,5523.117321
225.0,2623,5531.077993
260.0,2973,5540.143112
390.0,4191,5552.897256
210.0,2133,5559.181699
285.0,2717,5567.368407
455.0,4347,5580.212742
595.0,4333,5593.019355
210.0,2495,5601.768298
455.0,4461,5616.241354
495.0,4967,5633.927987
575.0,4049,5647.766893
295.0,3921,5661.044809
680.0,4909,5677.634556
235.0,2369,5686.282235
255.0,2885,5696.278048
220.0,2921,5733.310574
565.0,4635,5757.589968
620.0,4457,6712.042738
330.0,3963,6739.022796
245.0,3105,6778.369525
355.0,3951,6795.736569
585.0,6841,6888.50579
315.0,3269,6904.318487
750.0,4161,6924.245722
430.0,4569,7000.647205
295.0,3257,7016.403841
665.0,4029,7034.460457
265.0,3573,8828.921565
390.0,4155,8848.555038
420.0,4513,8869.554361
635.0,4419,11952.958482
580.0,4763,12074.60163
500.0,4567,12095.658213
570.0,2943,12109.135663
55.0,1859,12117.154547
365.0,4145,12621.929283
160.0,2519,12634.177816
465.0,4549,12657.729424
485.0,3239,12669.187979
300.0,3863,12680.654136
800.0,5707,12697.712087
410.0,4685,12711.300094
380.0,3189,12720.764141
1000.0,6801,12974.407053
425.0,3345,12989.729297
395.0,3339,13048.258722
215.0,2711,13061.118554
660.0,5163,13086.70979
105.0,1847,14150.187266
270.0,3893,15923.228926
95.0,2599,15935.786219
270.0,3027,15949.753397
915.0,5041,16032.542189
260.0,3107,16047.75741
805.0,4041,16060.060338
460.0,2997,16069.372527
300.0,2937,16078.312866
450.0,2263,16085.250232
410.0,3585,16096.837214
210.0,3205,16107.722715
565.0,3777,16119.639919
105.0,2107,16125.975164
270.0,3355,16136.078897
290.0,2487,16143.712836
250.0,3411,16153.917717
210.0,2507,16161.311207
550.0,3747,16172.625464
560.0,2703,16180.550525
180.0,2693,16188.976844
505.0,5691,16206.034935
540.0,5829,16225.277637
325.0,3737,16241.749477
230.0,2907,16250.52242
370.0,3347,16260.392122
275.0,3045,16269.560122
560.0,3715,16280.65301
535.0,3963,16292.45866
410.0,4179,16304.859253
305.0,2793,16313.310604
160.0,2395,16320.344572
450.0,2657,16328.494869
405.0,4995,16343.399973
355.0,3755,16354.652
405.0,3997,16366.692568
150.0,1485,16371.030728
670.0,4735,16385.338986
325.0,3185,16395.384148
505.0,3463,16406.029313
210.0,2977,16415.437289
670.0,5655,16432.682346
505.0,3467,16443.237927
605.0,5197,16458.821814
225.0,4517,16472.182978
450.0,3941,16484.036071
245.0,2251,16490.567915
420.0,4409,16503.700378
465.0,4589,16517.420347
680.0,4291,16529.995163
335.0,3541,16540.374076
370.0,3555,16557.504109
285.0,2953,16566.255488
370.0,3670,16577.369329
275.0,2977,16586.017315
690.0,4511,16599.828347
725.0,4581,16613.47568
445.0,2537,16620.663242
720.0,4335,16633.481275
530.0,4395,16646.164944
895.0,5749,16663.280583
280.0,2791,16671.82319
740.0,5691,16689.124391
370.0,3663,16699.968402
210.0,2787,16708.170287
115.0,1863,16713.696936
180.0,1883,16719.177458
450.0,4557,16732.779069
330.0,3029,16741.796599
165.0,2375,16748.872029
485.0,4855,16763.248995
390.0,4415,16776.089319
320.0,3393,16786.384211
370.0,3715,16797.276185
660.0,4379,16810.425084
290.0,3205,16819.855245
520.0,4781,16834.251961
320.0,4133,16846.620108
575.0,4735,16865.396312
440.0,2787,16873.734193
640.0,4974,16888.474586
215.0,4793,16902.746411
305.0,2895,16911.560247
465.0,2971,16920.421083
290.0,3395,16930.476025
670.0,4375,16943.643488
695.0,4439,16956.685705
